name;station;slot;exercise_id;exercise_name
Kraft Compound;1;1;31;Back Squats
Kraft Compound;1;2;31;Back Squats
Kraft Compound;2;1;42;Single-Leg Romanian Deadlift
Kraft Compound;2;2;42;Single-Leg Romanian Deadlift
Kraft Compound;3;1;40;Pull-ups
Kraft Compound;3;2;40;Pull-ups
Kraft Compound;4;1;38;Single-Arm Kettlebell Push Press
Kraft Compound;4;2;38;Single-Arm Kettlebell Push Press
Kraft Compound;5;1;44;Pallof Press
Kraft Compound;5;2;44;Pallof Press
